Όνομα,Περιγραφή
Θανάσης Κουκάκης,"Δημοσιογράφος."
Νίκος Ανδρουλάκης,"Ευρωβουλευτής, Πρόεδρος του ΠΑΣΟΚ-ΚΙΝΑΛ."
Χρήστος Σπίρτζης,"Τομεάρχης Προστασίας του Πολίτη του ΣΥΡΙΖΑ, πρώην υπουργός Μεταφορών, Υποδομών και Δικτύων."
Αντώνης Σαμαράς,"Πρώην πρωθυπουργός."
Μιχάλης Χρυσοχοΐδης,"Πρώην υπουργός Προστασίας του Πολίτη."
Νίκος Δένδιας,"Υπουργός Εξωτερικών."
Ολγα Γεροβασίλη,"Επικεφαλής της κοινοβουλευτικής ομάδας του ΣΥΡΙΖΑ, πρώην υπουργός Προστασίας του Πολίτη."
Αδωνης Γεωργιάδης,"Υπουργός Ανάπτυξης και Επενδύσεων."
Ευγενία Μανωλίδου,"Σύζυγος Αδ. Γεωργιάδη."
Βασίλης Κικίλιας,"Πρώην υπουργός Υγείας."
Τζένη Μπαλατσινού,"Σύζυγος Β. Κικίλια."
Ολγα Κεφαλογιάννη,"Βουλευτής ΝΔ, πρώην υπουργός Τουρισμού."
Αλέξης Παπαχελάς,"Διευθυντής «Καθημερινής»."
Λάκης Λαζόπουλος,"Ηθοποιός."
Αλέξανδρος Διακόπουλος,"Πρώην σύμβουλος Εθνικής Ασφάλειας της Ελλάδας."
Νίκος Χαρδαλιάς,"Υφυπουργός Εθνικής Άμυνας, πρώην Υφυπουργός Πολιτικής Προστασίας και Διαχείρισης Κρίσεων."
Χρήστος Σταϊκούρας,"Υπουργός Οικονομικών."
Κωστής Χατζηδάκης,"Υπουργός Εργασίας."
Πόπη Καλαϊτζή,"Σύζυγος Κ. Χατζηδάκη."
Αριστοτελία Πελώνη,"Εξωκοινοβουλευτική αναπληρώτρια κυβερνητική εκπρόσωπος."
Γιώργος Πατούλης,"Περιφερειάρχης Αττικής."
Μαρίνα Πατούλη,"Σύζυγος Γ. Πατούλη."
Δημήτρης Αβραμόπουλος,"Πρώην υπουργός και Επίτροπος της ΕΕ."
Γιώργος Γεραπετρίτης,"Υπουργός Επικρατείας"
Ακης Σκέρτσος,"Υπουργός Επικρατείας"
Νίκος Παπαθανάσης,"Αναπληρωτής υπουργός Ανάπτυξης και Επενδύσεων"
Μιλτιάδης Βαρβιτσιώτης,"Αναπληρωτής υπουργός Εξωτερικών"
Αλέξης Πατέλης,"Επικεφαλής στο οικονομικό γραφείο του πρωθυπουργού."
